class_code,college_name,department_name,course_name,professor,class_time,class_type,class_room,class_time_number
ERC2008-42,공과대학,건설환경공학부,"기술경영개론
Introduction to Management of Technology",조근태,"목18:00-19:15【27511】,목19:30-20:45【27511】",일반수업,27511,"4_18001915, 4_19302045"
ERC2011-41,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",권영돈,"월12:00-13:15【22319】,수13:30-14:45【22319】",일반수업,22319,"1_12001315, 3_13301445"
ECA4708-41,공과대학,건설환경공학부,"응용통계수문학
Applied Statistical Hydrology",최민하,"화12:00-13:15【26217A】,화13:30-14:45【26217A】",국제어수업,26217,"2_12001315, 2_13301445"
EME3028-41,공과대학,건설환경공학부,"응용고체역학
Applied Solid Mechanics",최덕현,"월09:00-10:15【22310】,수10:30-11:45【22310】",일반수업,22310,"1_09001015, 3_10301145"
EME3028-42,공과대학,건설환경공학부,"응용고체역학
Applied Solid Mechanics",최덕현,"월12:00-13:15【22310】,수13:30-14:45【22310】",일반수업,22310,"1_12001315, 3_13301445"
ERC2007-41,공과대학,건설환경공학부,"공학수치해석
Engineering Numerical Analysis",전경수,"목09:00-10:15【26223】,목10:30-11:45【26223】",일반수업,26223,"4_09001015, 4_10301145"
ERC2008-41,공과대학,건설환경공학부,"기술경영개론
Introduction to Management of Technology",조근태,"금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26223,"5_15001615, 5_16301745"
ERC2008-42,공과대학,건설환경공학부,"기술경영개론
Introduction to Management of Technology",조근태,"목18:00-19:15【27511】,목19:30-20:45【27511】",일반수업,27511,"4_18001915, 4_19302045"
ERC2011-41,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",권영돈,"월12:00-13:15【22319】,수13:30-14:45【22319】",일반수업,22319,"1_12001315, 3_13301445"
ERC2011-42,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",황의헌,"월12:00-13:15【27511】,수13:30-14:45【27511】",일반수업,27511,"1_12001315, 3_13301445"
ERC2011-44,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최문택,"월13:30-14:45【22310】,수12:00-13:15【22310】",국제어수업,22310,"1_13301445, 3_12001315"
ERC2011-45,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최문택,"월15:00-16:15【22310】,수16:30-17:45【22310】",국제어수업,22310,"1_15001615, 3_16301745"
ERC2011-46,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최문택,"월16:30-17:45【22310】,수15:00-16:15【22310】",국제어수업,22310,"1_16301745, 3_15001615"
ERC2011-47,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",원병묵,"월10:30-11:45【22319】,수09:00-10:15【22319】",일반수업,22319,"1_10301145, 3_09001015"
ERC2011-49,공과대학,건설환경공학부,"공학기초수학2
Fundamental Mathematics in Engineering2",최현기,"화15:00-16:15【22410】,목16:30-17:45【22410】",일반수업,22410,"2_15001615, 4_16301745"
ERC2012-41,공과대학,건설환경공학부,"인공지능과디지털수학
Digital Mathematics for Artificial Intelligence",김현수,"화09:00-10:15【26223】,화10:30-11:45【26223】",일반수업,26223,"2_09001015, 2_10301145"
